roman,target,freq,freq_lang,category,status,notes
banhchenhmate,បញ្ចេញមតិ,98,km,unclassified,approved,
banhchhael,បញ្ឈែល,1,km,unclassified,approved,
banhchhaut,បញ្ឆើត,1,km,unclassified,approved,
banhchheab,បញ្ឆាប,1,km,unclassified,approved,
banhchheach,បញ្ឆាច់,1,km,unclassified,approved,
banhchheak,បញ្ឆាក,1,km,unclassified,approved,
banhchheh,បញ្ឆេះ,38,km,unclassified,approved,
banhchhert,បញ្ឆើត,1,km,unclassified,approved,
banhchhich,បញ្ឆិច,1,km,unclassified,approved,
banhchhieng,បញ្ឆៀង,3,km,unclassified,approved,
banhchhit,បញ្ឆិត,15,km,unclassified,approved,
banhchhor,បញ្ឈរ,37,km,unclassified,approved,
banhchhout,បញ្ឆោត,45,km,unclassified,approved,
banhchhuek,បញ្ឆឹក,1,km,unclassified,approved,
banhchhueu,បញ្ឈឺ,2,km,unclassified,approved,
banhchhuk,បញ្ឆុក,1,km,unclassified,approved,
banhchhuol,បញ្ឆួល,1,km,unclassified,approved,
banhchi,បញ្ជី,670,km,unclassified,approved,
banhchies,បញ្ចៀស,65,km,unclassified,approved,
banhchih,បញ្ជិះ,1,km,unclassified,approved,
banhchika,បញ្ជិកា,6,km,unclassified,approved,
banhchikakroet,បញ្ជិកាក្រឹត,1,km,unclassified,approved,
banhchis,បញ្ជិះ,1,km,unclassified,approved,
banhchoab,បញ្ជាប់,1,km,unclassified,approved,
banhchoabaprolueng,បញ្ជាប់ព្រលឹង,1,km,unclassified,approved,
banhchoan,បញ្ជាន់,1,km,unclassified,approved,
banhchoanotrsde,បញ្ជាន់ត្រស្ដិ,1,km,unclassified,approved,
banhchoch,បញ្ជច់,1,km,unclassified,approved,
banhchok,បញ្ជក់,13,km,unclassified,approved,
banhchol,បញ្ចូល,2029,km,unclassified,approved,
banhchol,បញ្ជល់,1,km,unclassified,approved,
banhchopith,បញ្ចពិធ,1,km,unclassified,approved,
banhchopithkalyeanei,បញ្ចពិធកល្យាណី,1,km,unclassified,approved,
banhchopor,បញ្ចពណ៌,1,km,unclassified,approved,
banhchor,បញ្ចរ,1,km,unclassified,approved,
banhchor,បញ្ជរ,4,km,unclassified,approved,
banhchorb,បញ្ជាប់,1,km,unclassified,approved,
banhchorbaprolueng,បញ្ជាប់ព្រលឹង,1,km,unclassified,approved,
banhchorn,បញ្ជាន់,1,km,unclassified,approved,
banhchornotrsde,បញ្ជាន់ត្រស្ដិ,1,km,unclassified,approved,
banhchossap,បញ្ចុះសព,4,km,unclassified,approved,
banhchot,បញ្ជត,1,km,unclassified,approved,
banhchou,បញ្ចោរ,3,km,unclassified,approved,
banhchouk,បញ្ជោក,1,km,unclassified,approved,
banhchour,បញ្ជោរ,1,km,unclassified,approved,
banhchras,បញ្ច្រាស,8,km,unclassified,approved,
banhchreal,បញ្ជ្រាល,1,km,unclassified,approved,
banhchrich,បញ្ច្រិច,1,km,unclassified,approved,
banhchris,បញ្ជ្រិះ,1,km,unclassified,approved,
banhchrok,បញ្ច្រក,1,km,unclassified,approved,
banhchrok,បញ្ជ្រក,1,km,unclassified,approved,
banhchruch,បញ្ច្រូច,1,km,unclassified,approved,
banhchrul,បញ្ជ្រុល,1,km,unclassified,approved,
banhchruoh,បញ្ច្រោះ,1,km,unclassified,approved,
banhchruos,បញ្ជ្រួស,1,km,unclassified,approved,
banhchub,បញ្ឈប់,643,km,unclassified,approved,
banhchuhsap,បញ្ចុះសព,4,km,unclassified,approved,
banhchuk,បញ្ចុក,43,km,unclassified,approved,
banhchun,បញ្ជូន,2259,km,unclassified,approved,
banhchuoh,បញ្ជោះ,1,km,unclassified,approved,
banhjak,បញ្ជាក់,6017,km,unclassified,approved,
banhjang,បញ្ចាំង,489,km,unclassified,approved,
banhjek,បញ្ជាក់,6017,km,unclassified,approved,
banhjenh,បញ្ចេញ,2437,km,unclassified,approved,
banhji,បញ្ជី,670,km,unclassified,approved,
banhjoabpeak,បញ្ជាប់ពាក្យ,1,km,unclassified,approved,
banhjob,បញ្ចប់,2895,km,unclassified,approved,
banhjol,បញ្ចូល,2029,km,unclassified,approved,
banhjorbpeak,បញ្ជាប់ពាក្យ,1,km,unclassified,approved,
banhjos,បញ្ចុះ,676,km,unclassified,approved,
banhjun,បញ្ជូន,2259,km,unclassified,approved,
banhnha,បញ្ញា,339,km,unclassified,approved,
banhnhabaromi,បញ្ញាបារមី,1,km,unclassified,approved,
banhnhae,បញ្ញែ,1,km,unclassified,approved,
banhnhaem,បញ្ញែម,1,km,unclassified,approved,
banhnhan,បញ្ញាណ,1,km,unclassified,approved,
banhnhanurub,បញ្ញានុរូប,1,km,unclassified,approved,
banhnhaphea,បញ្ញាភា,1,km,unclassified,approved,
banhnherkaek,បញ្ញើក្អែក,1,km,unclassified,approved,
banhnhott,បញ្ញត្ត,1,km,unclassified,approved,
banhnhotte,បញ្ញត្តិ,11,km,unclassified,approved,
bbanhnhavorn,បញ្ញវន្ត,1,km,unclassified,approved,
banhnhu,បញ្ញើ,60,km,unclassified,approved,
banhrong,បាញ់រង,1,km,unclassified,approved,
